Project,Site,Date,Time,Type,Location,lat,lon,ID,bottle_type,filtered_uM,SpC_uScm2,temp_C,sampled_by,collection_notes,status_location,DOC_mgL,DOC_file,DOC_notes,Network Role,Discharge,Discharge Notes,,,
USF,USF5,5/31/23,12:30,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,d_26,30_mL_dark,0.45,38,-1.29,AJW,,shipped to UNH,,,,,N/A,"data bad, half of curve is missing",,,
USF,USF5,5/31/23,12:30,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,d_28,30_mL_dark,0.45,38,-1.29,AJW,,shipped to UNH,,,,,N/A,"data bad, half of curve is missing",,,
USF,USF5,5/31/23,12:30,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,i_26,iso_vial,0.45,38,-1.29,AJW,,at CSI,,,,,N/A,"data bad, half of curve is missing",,,
USF,USF6,6/1/23,12:00,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,11,60_mL,0.45,39,-2.35,AJW,,shipped to UNH,,,,,878.5109,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/1/23,12:00,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,31,60_mL,0.45,39,-2.35,AJW,,shipped to UNH,,,,,878.5109,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/1/23,12:00,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,32,60_mL,0.45,39,-2.35,AJW,,lab freezer,,,,,878.5109,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/1/23,12:00,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,d_11,30_mL_dark,0.45,39,-2.35,AJW,,shipped to UNH,,,,,878.5109,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/1/23,12:00,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,d_31,30_mL_dark,0.45,39,-2.35,AJW,,shipped to UNH,,,,,878.5109,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/1/23,12:00,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,i_11,iso_vial,0.45,39,-2.35,AJW,,at CSI,,,,,878.5109,might be incorporating to much of the beginning of the curve,,,
USF,USF7,6/1/23,13:30,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,6,60_mL,0.45,74,-0.39,AJW,,shipped to UNH,,,,,22.5762,,,,
USF,USF7,6/1/23,13:30,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,42,60_mL,0.45,74,-0.39,AJW,,lab freezer,,,,,22.5762,,,,
USF,USF7,6/1/23,13:30,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,118,60_mL,0.45,74,-0.39,AJW,,lab freezer,,,,,22.5762,,,,
USF,USF7,6/1/23,13:30,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,d_42,30_mL_dark,0.45,74,-0.39,AJW,,lab freezer,,,,,22.5762,,,,
USF,USF7,6/1/23,13:30,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,d_6,30_mL_dark,0.45,74,-0.39,AJW,,shipped to UNH,,,,,22.5762,,,,
USF,USF7,6/1/23,13:30,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,i_6,iso_vial,0.45,74,-0.39,AJW,,at CSI,,,,,22.5762,,,,
USF,USF8,6/1/23,15:30,stream water,"at barely trickling trib entering mainstem on RR, sampled upstream from trail",35.71715,-105.80225,12,60_mL,0.45,NA,NA,AJW,no Q measured,shipped to UNH,,,,,N/A,no discharge measured,,,
USF,USF8,6/1/23,15:30,stream water,"at barely trickling trib entering mainstem on RR, sampled upstream from trail",35.71715,-105.80225,50,60_mL,0.45,NA,NA,AJW,no Q measured,lab freezer,,,,,N/A,no discharge measured,,,
USF,USF8,6/1/23,15:30,stream water,"at barely trickling trib entering mainstem on RR, sampled upstream from trail",35.71715,-105.80225,77,60_mL,0.45,NA,NA,AJW,no Q measured,lab freezer,,,,,N/A,no discharge measured,,,
USF,USF8,6/1/23,15:30,stream water,"at barely trickling trib entering mainstem on RR, sampled upstream from trail",35.71715,-105.80225,d_12,30_mL_dark,0.45,NA,NA,AJW,no Q measured,shipped to UNH,,,,,N/A,no discharge measured,,,
USF,USF8,6/1/23,15:30,stream water,"at barely trickling trib entering mainstem on RR, sampled upstream from trail",35.71715,-105.80225,d_50,30_mL_dark,0.45,NA,NA,AJW,no Q measured,lab freezer,,,,,N/A,no discharge measured,,,
USF,USF8,6/1/23,15:30,stream water,"at barely trickling trib entering mainstem on RR, sampled upstream from trail",35.71715,-105.80225,i_12,iso_vial,0.45,NA,NA,AJW,,at CSI,,,,,N/A,no discharge measured,,,
USF,USF10,6/12/23,15:15,stream water,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib),35.74801,-105.77688,17,60_mL,0.45,32,-0.77,AJW,,shipped to UNH,,,,,380.1415,might be incorporating to much of the beginning of the curve,,,
USF,USF10,6/12/23,15:15,stream water,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib),35.74801,-105.77688,37,60_mL,0.45,32,-0.77,AJW,,shipped to UNH,,,,,380.1415,might be incorporating to much of the beginning of the curve,,,
USF,USF10,6/12/23,15:15,stream water,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib),35.74801,-105.77688,45,60_mL,0.45,32,-0.77,AJW,,lab freezer,,,,,380.1415,might be incorporating to much of the beginning of the curve,,,
USF,USF10,6/12/23,15:15,stream water,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib),35.74801,-105.77688,103,60_mL,0.45,32,-0.77,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,380.1415,might be incorporating to much of the beginning of the curve,,,
USF,USF10,6/12/23,15:15,stream water,at mainstem above confluence with USF11 (USF11 is the secondary mainstem/largest trib),35.74801,-105.77688,i_17,iso_vial,0.45,32,-0.77,AJW,vial broke; sample is gone,gone,,,,,380.1415,might be incorporating to much of the beginning of the curve,,,
USF,USF11,6/12/23,14:30,stream water,"at secondary mainstem/largest trib, which enters mainstem on RL",35.74506,-105.77617,93,60_mL,0.45,54,-0.33,AJW,,shipped to UNH,,,,,106.7116,might be incorporating to much of the beginning of the curve,,,
USF,USF11,6/12/23,14:30,stream water,"at secondary mainstem/largest trib, which enters mainstem on RL",35.74506,-105.77617,100,60_mL,0.45,54,-0.33,AJW,,lab freezer,,,,,106.7116,might be incorporating to much of the beginning of the curve,,,
USF,USF11,6/12/23,14:30,stream water,"at secondary mainstem/largest trib, which enters mainstem on RL",35.74506,-105.77617,110,60_mL,0.45,54,-0.33,AJW,,lab freezer,,,,,106.7116,might be incorporating to much of the beginning of the curve,,,
USF,USF11,6/12/23,14:30,stream water,"at secondary mainstem/largest trib, which enters mainstem on RL",35.74506,-105.77617,d_100,30_mL_dark,0.45,54,-0.33,AJW,,lab freezer,,,,,106.7116,might be incorporating to much of the beginning of the curve,,,
USF,USF11,6/12/23,14:30,stream water,"at secondary mainstem/largest trib, which enters mainstem on RL",35.74506,-105.77617,d_93,30_mL_dark,0.45,54,-0.33,AJW,,shipped to UNH,,,,,106.7116,might be incorporating to much of the beginning of the curve,,,
USF,USF11,6/12/23,14:30,stream water,"at secondary mainstem/largest trib, which enters mainstem on RL",35.74506,-105.77617,i_93,iso_vial,0.45,54,-0.33,AJW,,at CSI,,,,,106.7116,might be incorporating to much of the beginning of the curve,,,
USF,USF9,6/12/23,13:45,stream water,at trib that enters mainstem on mainstem RR,35.74776,-105.77709,21,60_mL,0.45,48,-0.51,AJW,,shipped to UNH,,,,,55.07921,might be incorporating to much of the beginning of the curve,,,
USF,USF9,6/12/23,13:45,stream water,at trib that enters mainstem on mainstem RR,35.74776,-105.77709,109,60_mL,0.45,48,-0.51,AJW,,lab freezer,,,,,55.07921,might be incorporating to much of the beginning of the curve,,,
USF,USF9,6/12/23,13:45,stream water,at trib that enters mainstem on mainstem RR,35.74776,-105.77709,114,60_mL,0.45,48,-0.51,AJW,,lab freezer,,,,,55.07921,might be incorporating to much of the beginning of the curve,,,
USF,USF9,6/12/23,13:45,stream water,at trib that enters mainstem on mainstem RR,35.74776,-105.77709,d_109,30_mL_dark,0.45,48,-0.51,AJW,,lab freezer,,,,,55.07921,might be incorporating to much of the beginning of the curve,,,
USF,USF9,6/12/23,13:45,stream water,at trib that enters mainstem on mainstem RR,35.74776,-105.77709,d_21,30_mL_dark,0.45,48,-0.51,AJW,,shipped to UNH,,,,,55.07921,might be incorporating to much of the beginning of the curve,,,
USF,USF9,6/12/23,13:45,stream water,at trib that enters mainstem on mainstem RR,35.74776,-105.77709,i_21,iso_vial,0.45,48,-0.51,AJW,,at CSI,,,,,55.07921,might be incorporating to much of the beginning of the curve,,,
USF,USF12,6/13/23,10:15,stream water,at mainstem upstream from USF2,35.68863,-105.82358,56,60_mL,0.45,NA,NA,AJW,no Q taken; use USGS,shipped to UNH,,,,,353.9606,taken from USGS,,,
USF,USF12,6/13/23,10:15,stream water,at mainstem upstream from USF2,35.68863,-105.82358,69,60_mL,0.45,NA,NA,AJW,no Q taken; use USGS,shipped to UNH,,,,,353.9606,taken from USGS,,,
USF,USF12,6/13/23,10:15,stream water,at mainstem upstream from USF2,35.68863,-105.82358,108,60_mL,0.45,NA,NA,AJW,no Q taken; use USGS,lab freezer,,,,,353.9606,taken from USGS,,,
USF,USF12,6/13/23,10:15,stream water,at mainstem upstream from USF2,35.68863,-105.82358,119,60_mL,0.45,NA,NA,AJW,"no Q taken; use USGS; ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,353.9606,taken from USGS,,,
USF,USF12,6/13/23,10:15,stream water,at mainstem upstream from USF2,35.68863,-105.82358,i_56,iso_vial,0.45,NA,NA,AJW,no Q taken; use USGS,at CSI,,,,,353.9606,taken from USGS,,,
USF,USF2,6/13/23,9:30,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,91,60_mL,0.45,78,-0.44,AJW,,shipped to UNH,,,,,3.389509,might be incorporating to much of the beginning of the curve,,,
USF,USF2,6/13/23,9:30,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,94,60_mL,0.45,78,-0.44,AJW,,lab freezer,,,,,3.389509,might be incorporating to much of the beginning of the curve,,,
USF,USF2,6/13/23,9:30,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,99,60_mL,0.45,78,-0.44,AJW,,lab freezer,,,,,3.389509,might be incorporating to much of the beginning of the curve,,,
USF,USF2,6/13/23,9:30,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,113,60_mL,0.45,78,-0.44,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,3.389509,might be incorporating to much of the beginning of the curve,,,
USF,USF2,6/13/23,9:30,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,i_91,iso_vial,0.45,78,-0.44,AJW,,at CSI,,,,,3.389509,might be incorporating to much of the beginning of the curve,,,
USF,USF3,6/13/23,10:45,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,89,60_mL,0.45,42,-2.7,AJW,,shipped to UNH,,,,,497.2109,might be incorporating to much of the beginning of the curve,,,
USF,USF3,6/13/23,10:45,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,96,60_mL,0.45,42,-2.7,AJW,,shipped to UNH,,,,,497.2109,might be incorporating to much of the beginning of the curve,,,
USF,USF3,6/13/23,10:45,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,98,60_mL,0.45,42,-2.7,AJW,,lab freezer,,,,,497.2109,might be incorporating to much of the beginning of the curve,,,
USF,USF3,6/13/23,10:45,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,115,60_mL,0.45,42,-2.7,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,497.2109,might be incorporating to much of the beginning of the curve,,,
USF,USF3,6/13/23,10:45,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,i_89,iso_vial,0.45,42,-2.7,AJW,,at CSI,,,,,497.2109,might be incorporating to much of the beginning of the curve,,,
USF,USF4,6/13/23,13:00,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,18,60_mL,0.45,145,2.85,AJW,,shipped to UNH,,,,,3.661967,curve does not reach bg spc levels (by 6 spc),,,
USF,USF4,6/13/23,13:00,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,75,60_mL,0.45,145,2.85,AJW,,"no bottle by that number, extra bottle in this batch is numbered: 73",,,,,3.661967,curve does not reach bg spc levels (by 6 spc),,,
USF,USF4,6/13/23,13:00,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,88,60_mL,0.45,145,2.85,AJW,,lab freezer,,,,,3.661967,curve does not reach bg spc levels (by 6 spc),,,
USF,USF4,6/13/23,13:00,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,95,60_mL,0.45,145,2.85,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,3.661967,curve does not reach bg spc levels (by 6 spc),,,
USF,USF4,6/13/23,13:00,stream water,at small trib on mainstem RR; most substantial trib above road identified thus far,35.72101,-105.79793,i_18,iso_vial,0.45,145,2.85,AJW,,at CSI,,,,,3.661967,curve does not reach bg spc levels (by 6 spc),,,
USF,USF5,6/13/23,12:15,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,27,60_mL,0.45,40,-1.42,AJW,,shipped to UNH,,,,,484.6186,might be incorporating to much of the beginning of the curve,,,
USF,USF5,6/13/23,12:15,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,33,60_mL,0.45,40,-1.42,AJW,,shipped to UNH,,,,,484.6186,might be incorporating to much of the beginning of the curve,,,
USF,USF5,6/13/23,12:15,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,44,60_mL,0.45,40,-1.42,AJW,,lab freezer,,,,,484.6186,might be incorporating to much of the beginning of the curve,,,
USF,USF5,6/13/23,12:15,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,84,60_mL,0.45,40,-1.42,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,484.6186,might be incorporating to much of the beginning of the curve,,,
USF,USF5,6/13/23,12:15,stream water,at mainstem just upstream of USF4,35.72094,-105.79774,i_27,iso_vial,0.45,40,-1.42,AJW,,at CSI,,,,,484.6186,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/13/23,14:15,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,22,60_mL,0.45,40,-0.6,AJW,,shipped to UNH,,,,,481.3809,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/13/23,14:15,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,80,60_mL,0.45,40,-0.6,AJW,,shipped to UNH,,,,,481.3809,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/13/23,14:15,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,102,60_mL,0.45,40,-0.6,AJW,,lab freezer,,,,,481.3809,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/13/23,14:15,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,106,60_mL,0.45,40,-0.6,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,,481.3809,might be incorporating to much of the beginning of the curve,,,
USF,USF6,6/13/23,14:15,stream water,at mainstem upstream from trib that trail crosses,35.73143,-105.78939,i_22,iso_vial,0.45,40,-0.6,AJW,,at CSI,,,,,481.3809,might be incorporating to much of the beginning of the curve,,,
USF,USF7,6/13/23,13:45,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,14,60_mL,0.45,72,0.38,AJW,,shipped to UNH,,,,tributary,13.38652,,,,
USF,USF7,6/13/23,13:45,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,71,60_mL,0.45,72,0.38,AJW,,lab freezer,,,,tributary,13.38652,,,,
USF,USF7,6/13/23,13:45,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,76,60_mL,0.45,72,0.38,AJW,,lab freezer,,,,tributary,13.38652,,,,
USF,USF7,6/13/23,13:45,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,90,60_mL,0.45,72,0.38,AJW,"ran out of dark bottles, so this 60 mL is intended for OC",shipped to UNH,,,,tributary,13.38652,,,,
USF,USF7,6/13/23,13:45,stream water,"at trib entering mainstem RR, upstream from trib waterfall, downstream from trail",35.73046,-105.7913,i_14,iso_vial,0.45,72,0.38,AJW,,at CSI,,,,tributary,13.38652,,,,
USF,USF12,7/12/23,8:00,stream water,at mainstem upstream from USF2,35.68863,-105.82358,121,60_mL,0.45,NA,NA,AJW,no Q taken; use USGS,shipped to UNH,,,,mainstem,214.9249,taken from USGS,,,
USF,USF12,7/12/23,8:00,stream water,at mainstem upstream from USF2,35.68863,-105.82358,143,60_mL,0.45,NA,NA,AJW,no Q taken; use USGS,shipped to UNH,,,,mainstem,214.9249,taken from USGS,,,
USF,USF12,7/12/23,8:00,stream water,at mainstem upstream from USF2,35.68863,-105.82358,150,60_mL,0.45,NA,NA,AJW,no Q taken; use USGS,lab freezer,,,,mainstem,214.9249,taken from USGS,,,
USF,USF12,7/12/23,8:00,stream water,at mainstem upstream from USF2,35.68863,-105.82358,d_121,glass_scint,0.45,NA,NA,AJW,"no Q taken; use USGS; ran out of dark bottles, so this 60 mL is intended for OC","lab refrigerator, acidified with HCl",,,,mainstem,214.9249,taken from USGS,,,
USF,USF12,7/12/23,8:00,stream water,at mainstem upstream from USF2,35.68863,-105.82358,d_143,glass_scint,0.45,NA,NA,AJW,no Q taken; use USGS,"lab refrigerator, acidified with HCl",,,,mainstem,214.9249,taken from USGS,,,
USF,USF12,7/12/23,8:00,stream water,at mainstem upstream from USF2,35.68863,-105.82358,i_121,iso_vial,0.45,NA,NA,AJW,,at CSI,,,,mainstem,214.9249,taken from USGS,,,
USF,USF2,7/12/23,7:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,138,60_mL,0.45,54,11.4,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard",shipped to UNH,,,,tributary,0.486,,,,
USF,USF2,7/12/23,7:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,147,60_mL,0.45,54,11.4,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard",lab freezer,,,,tributary,0.486,,,,
USF,USF2,7/12/23,7:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,148,60_mL,0.45,54,11.4,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard",lab freezer,,,,tributary,0.486,,,,
USF,USF2,7/12/23,7:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,d_138,glass_scint,0.45,54,11.4,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard","lab refrigerator, acidified with HCl",,,,tributary,0.486,,,,
USF,USF2,7/12/23,7:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,d_147,glass_scint,0.45,54,11.4,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard","lab refrigerator, acidified with HCl",,,,tributary,0.486,,,,
USF,USF2,7/12/23,7:45,stream water,"at first trib above McClure resevoir entering mainstem on river left, sampled upstream from road",35.68829,-105.8236,i_138,iso_vial,0.45,54,11.4,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard",at CSI,,,,tributary,0.486,,,,
USF,USF3,7/12/23,9:15,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,124,60_mL,0.45,41.7,12.1,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard",shipped to UNH,,,,mainstem,121.27,,,,
USF,USF3,7/12/23,9:15,stream water,"at end of road, just upstream of log crossing mainstem, on mainstem",35.70783,-105.80571,142,60_mL,0.45,41.7,12.1,AJW,"new YSI was uncalibrated, later determined to be 3 us/cm off from 1000 us/cm cal standard",shipped to UNH,,,,mainstem,121.27,,,,
