OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801084,Sample-Routine,Water,Groundwater,1988-05-03,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354006106004101,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104948563,,,Oxygen-18/Oxygen-16 ratio,Total,-11.60,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801071,Sample-Routine,Water,Bulk deposition,1988-05-09,,,1988-05-23,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665850,,,Oxygen-18/Oxygen-16 ratio,Total,-9.60,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900537,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354408105545201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949115,,,Oxygen-18/Oxygen-16 ratio,Total,-11.45,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801083,Sample-Routine,Water,Surface Water,1988-04-26,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354852105542310,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665880,,,Oxygen-18/Oxygen-16 ratio,Total,-12.65,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801076,Sample-Routine,Water,Surface Water,1988-09-19,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354109105534210,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665865,,,Oxygen-18/Oxygen-16 ratio,Total,-10.70,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801074,Sample-Routine,Water,Bulk deposition,1988-06-24,,,1988-07-08,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665859,,,Oxygen-18/Oxygen-16 ratio,Total,-9.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900507,Sample-Routine,Water,Groundwater,1988-11-01,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354423105540801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949052,,,Oxygen-18/Oxygen-16 ratio,Total,-11.45,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801070,Not determined,Water,Bulk deposition,1988-04-20,,,1988-05-09,,,,,,,,,,,,,,USGS-354117105532030,,,,Not determined,Not Determined (historical),,,USGS,USGS,USGS,,Unknown,NWIS-116665847,,,Oxygen-18/Oxygen-16 ratio,Total,-5.90,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900515,Sample-Routine,Water,Groundwater,1988-11-21,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-355006106094801,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-80453179,,,Oxygen-18/Oxygen-16 ratio,Total,-11.95,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900524,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353555105543301,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949076,,,Oxygen-18/Oxygen-16 ratio,Total,-10.50,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900459,Sample-Routine,Water,Groundwater,1988-10-17,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353641106012401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949025,,,Oxygen-18/Oxygen-16 ratio,Total,-11.60,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900533,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354530105554301,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949103,,,Oxygen-18/Oxygen-16 ratio,Total,-12.75,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900496,Sample-Routine,Water,Surface Water,1988-11-30,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354109105534210,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666303,,,Oxygen-18/Oxygen-16 ratio,Total,-10.30,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900526,Sample-Routine,Water,Groundwater,1988-10-24,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353456106020701,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949082,,,Oxygen-18/Oxygen-16 ratio,Total,-11.50,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801042,Sample-Routine,Water,Bulk deposition,1988-08-15,,,1988-08-25,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665780,,,Oxygen-18/Oxygen-16 ratio,Total,-8.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801002,Sample-Routine,Water,Bulk deposition,1988-09-19,,,1988-10-12,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665610,,,Oxygen-18/Oxygen-16 ratio,Total,-9.60,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900520,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353758105552601,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949067,,,Oxygen-18/Oxygen-16 ratio,Total,-9.75,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801086,Sample-Routine,Water,Groundwater,1988-04-20,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353821105565501,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104948566,,,Oxygen-18/Oxygen-16 ratio,Total,-9.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801078,Sample-Routine,Water,Surface Water,1988-04-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354437105545610,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665871,,,Oxygen-18/Oxygen-16 ratio,Total,-13.00,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900527,Sample-Routine,Water,Groundwater,1988-10-24,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353528106021101,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949085,,,Oxygen-18/Oxygen-16 ratio,Total,-11.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900495,Sample-Routine,Water,Surface Water,1988-11-10,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354109105534210,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666300,,,Oxygen-18/Oxygen-16 ratio,Total,-10.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801075,Not determined,Water,Surface Water,1988-04-28,,,,,,,,,,,,,,,,,USGS-354109105534210,,,,Not determined,Not Determined (historical),,,USGS,USGS,USGS,,Unknown,NWIS-116665862,,,Oxygen-18/Oxygen-16 ratio,Total,-10.65,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900387,Sample-Routine,Water,Bulk deposition,1988-12-28,,,1989-01-23,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354117105532030,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116666131,,,Oxygen-18/Oxygen-16 ratio,Total,-13.40,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900506,Sample-Routine,Water,Groundwater,1988-11-01,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354353105543401,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949049,,,Oxygen-18/Oxygen-16 ratio,Total,-11.20,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900534,Sample-Routine,Water,Groundwater,1988-10-25,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354523105553901,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949106,,,Oxygen-18/Oxygen-16 ratio,Total,-12.10,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98900521,Sample-Routine,Water,Groundwater,1988-10-18,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-353714105564201,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104949070,,,Oxygen-18/Oxygen-16 ratio,Total,-10.15,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.98801077,Sample-Routine,Water,Surface Water,1988-04-27,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-354402105544210,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-116665868,,,Oxygen-18/Oxygen-16 ratio,Total,-12.05,per mil,,Historical,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,,,,,,,,,,NWIS
